task,metric,channel,value
original,entropy,R,5.4035
original,chi_squared,R,1319245.67
original,correlation_h,R,0.935224
original,correlation_v,R,0.935774
original,correlation_d,R,0.889378
original,entropy,G,5.4339
original,chi_squared,G,1302432.31
original,correlation_h,G,0.935866
original,correlation_v,G,0.936522
original,correlation_d,G,0.890472
original,entropy,B,5.4027
original,chi_squared,B,1332721.47
original,correlation_h,B,0.935429
original,correlation_v,B,0.936078
original,correlation_d,B,0.889794
task1,entropy,R,7.9805
task1,chi_squared,R,1828.38
task1,correlation_h,R,0.032881
task1,correlation_v,R,-0.021684
task1,correlation_d,R,-0.042336
task1,entropy,G,7.9783
task1,chi_squared,G,2044.53
task1,correlation_h,G,0.012543
task1,correlation_v,G,0.014849
task1,correlation_d,G,-0.037594
task1,entropy,B,7.9772
task1,chi_squared,B,2140.90
task1,correlation_h,B,0.020064
task1,correlation_v,B,-0.011547
task1,correlation_d,B,-0.009180
task1,npcr,all,99.66
task1,uaci,all,42.51
task2,entropy,R,7.9973
task2,chi_squared,R,236.22
task2,correlation_h,R,-0.025406
task2,correlation_v,R,0.010819
task2,correlation_d,R,0.010425
task2,entropy,G,7.9970
task2,chi_squared,G,262.92
task2,correlation_h,G,0.010275
task2,correlation_v,G,-0.007447
task2,correlation_d,G,0.014146
task2,entropy,B,7.9973
task2,chi_squared,B,244.11
task2,correlation_h,B,-0.014248
task2,correlation_v,B,-0.015538
task2,correlation_d,B,-0.001232
task2,npcr,all,99.62
task2,uaci,all,42.29
task3,entropy,R,7.9968
task3,chi_squared,R,283.53
task3,correlation_h,R,0.012556
task3,correlation_v,R,-0.008397
task3,correlation_d,R,0.021349
task3,entropy,G,7.9970
task3,chi_squared,G,268.87
task3,correlation_h,G,0.008922
task3,correlation_v,G,0.011299
task3,correlation_d,G,-0.002460
task3,entropy,B,7.9972
task3,chi_squared,B,248.83
task3,correlation_h,B,-0.003231
task3,correlation_v,B,0.000282
task3,correlation_d,B,-0.004314
task3,npcr,all,99.62
task3,uaci,all,42.33
