task,metric,channel,value
original,entropy,R,1.8611
original,chi_squared,R,66352549.76
original,correlation_h,R,0.975293
original,correlation_v,R,0.941739
original,correlation_d,R,0.928266
original,entropy,G,1.7871
original,chi_squared,G,72014329.95
original,correlation_h,G,0.963842
original,correlation_v,G,0.928972
original,correlation_d,G,0.918750
original,entropy,B,1.7978
original,chi_squared,B,68905769.98
original,correlation_h,B,0.972698
original,correlation_v,B,0.951169
original,correlation_d,B,0.939183
task1,entropy,R,7.7325
task1,chi_squared,R,222986.03
task1,correlation_h,R,0.016380
task1,correlation_v,R,0.041283
task1,correlation_d,R,-0.049744
task1,entropy,G,7.7342
task1,chi_squared,G,221371.65
task1,correlation_h,G,0.018183
task1,correlation_v,G,-0.002803
task1,correlation_d,G,-0.069115
task1,entropy,B,7.7344
task1,chi_squared,B,221451.49
task1,correlation_h,B,0.047148
task1,correlation_v,B,0.036042
task1,correlation_d,B,-0.033916
task1,npcr,all,99.78
task1,uaci,all,47.55
task2,entropy,R,7.9995
task2,chi_squared,R,348.35
task2,correlation_h,R,0.021760
task2,correlation_v,R,0.049872
task2,correlation_d,R,-0.020548
task2,entropy,G,7.9995
task2,chi_squared,G,325.82
task2,correlation_h,G,-0.007098
task2,correlation_v,G,-0.000142
task2,correlation_d,G,0.021619
task2,entropy,B,7.9996
task2,chi_squared,B,320.60
task2,correlation_h,B,0.012821
task2,correlation_v,B,0.019875
task2,correlation_d,B,-0.013709
task2,npcr,all,99.61
task2,uaci,all,47.79
task3,entropy,R,7.9997
task3,chi_squared,R,213.68
task3,correlation_h,R,-0.001790
task3,correlation_v,R,0.023634
task3,correlation_d,R,-0.009039
task3,entropy,G,7.9996
task3,chi_squared,G,287.12
task3,correlation_h,G,0.000221
task3,correlation_v,G,0.013096
task3,correlation_d,G,0.039224
task3,entropy,B,7.9996
task3,chi_squared,B,253.10
task3,correlation_h,B,0.009147
task3,correlation_v,B,-0.003112
task3,correlation_d,B,-0.005847
task3,npcr,all,99.61
task3,uaci,all,47.67
